frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
52,2.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.0,0.068,0.0,0.016,0.036,0.0,0.008,0.024,0.0,0.008,0.10600000000000001,0.018,0.024
53,2.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.004,0.0,0.072,0.0,0.01,0.04,0.004,0.004,0.016,0.0,0.0,0.10400000000000001,0.022,0.004
54,2.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.012,0.0,0.008,0.0,0.078,0.0,0.006,0.04,0.008,0.002,0.012,0.0,0.0,0.086,0.022,0.004
55,2.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.002,0.01,0.0,0.008,0.0,0.078,0.0,0.008,0.04,0.01,0.002,0.008,0.0,0.0,0.088,0.014000000000000002,0.0
56,2.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.002,0.0,0.072,0.0,0.012,0.04,0.008,0.002,0.004,0.0,0.0,0.074,0.006,0.002
57,2.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.018,0.04,0.008,0.0,0.012,0.0,0.01,0.074,0.006,0.002
58,2.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.0,0.0,0.0,0.062,0.0,0.014000000000000002,0.036,0.01,0.0,0.018,0.0,0.012,0.062,0.012,0.002
59,2.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.002,0.0,0.0,0.0,0.088,0.0,0.01,0.028000000000000004,0.024,0.0,0.024,0.01,0.012,0.054000000000000006,0.026000000000000002,0.0
60,2.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.02,0.002,0.0,0.002,0.0,0.096,0.0,0.01,0.02,0.02,0.0,0.024,0.02,0.006,0.041999999999999996,0.036,0.01
61,2.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.002,0.0,0.10800000000000001,0.0,0.008,0.024,0.02,0.0,0.018,0.02,0.004,0.03,0.05,0.018
62,2.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.002,0.0,0.09,0.0,0.01,0.028000000000000004,0.026000000000000002,0.0,0.018,0.016,0.012,0.018,0.038,0.032
63,2.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.022,0.006,0.0,0.0,0.0,0.098,0.002,0.006,0.028000000000000004,0.038,0.0,0.012,0.012,0.01,0.006,0.024,0.028000000000000004
64,2.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.018,0.006,0.0,0.0,0.0,0.086,0.002,0.01,0.026000000000000002,0.05,0.0,0.016,0.012,0.01,0.0,0.002,0.036
65,2.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03,0.006,0.0,0.002,0.0,0.094,0.002,0.006,0.018,0.04,0.0,0.014000000000000002,0.004,0.004,0.0,0.0,0.04
66,2.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.022,0.002,0.0,0.002,0.0,0.088,0.002,0.004,0.018,0.038,0.0,0.018,0.0,0.0,0.0,0.0,0.048
67,2.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.002,0.0,0.016,0.0,0.10200000000000001,0.004,0.002,0.022,0.026000000000000002,0.0,0.02,0.0,0.002,0.0,0.0,0.038
68,2.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.022,0.002,0.0,0.016,0.0,0.09,0.012,0.008,0.022,0.028000000000000004,0.0,0.02,0.004,0.002,0.0,0.0,0.018
69,2.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.016,0.0,0.092,0.014000000000000002,0.012,0.022,0.034,0.0,0.02,0.006,0.002,0.0,0.0,0.006
70,2.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.078,0.024,0.016,0.014000000000000002,0.04,0.0,0.02,0.014000000000000002,0.0,0.0,0.0,0.0
71,2.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.04,0.004,0.0,0.0,0.0,0.088,0.024,0.01,0.012,0.036,0.0,0.03,0.01,0.002,0.0,0.0,0.0
72,2.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.05,0.006,0.0,0.0,0.0,0.08399999999999999,0.026000000000000002,0.008,0.01,0.03,0.0,0.03,0.008,0.002,0.002,0.0,0.0
73,2.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.05600000000000001,0.006,0.0,0.0,0.0,0.078,0.022,0.012,0.01,0.032,0.0,0.024,0.0,0.0,0.008,0.0,0.0
