frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
87,3.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386,0.0,0.0,0.134,0.012,0.0,0.0,0.31,0.016,0.154,0.014000000000000002,0.0,0.018,0.014000000000000002,0.0
88,3.52,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374,0.0,0.0,0.118,0.008,0.008,0.0,0.312,0.018,0.16,0.004,0.0,0.014000000000000002,0.01,0.0
89,3.56,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352,0.002,0.0,0.074,0.006,0.008,0.0,0.308,0.008,0.156,0.0,0.0,0.016,0.008,0.0
90,3.6,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352,0.004,0.0,0.057999999999999996,0.004,0.008,0.0,0.296,0.008,0.156,0.0,0.0,0.016,0.022,0.0
91,3.64,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.004,0.0,0.062,0.0,0.0,0.0,0.292,0.004,0.146,0.0,0.0,0.012,0.012,0.0
92,3.68,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.002,0.0,0.078,0.0,0.0,0.0,0.288,0.0,0.146,0.0,0.0,0.016,0.012,0.0
93,3.72,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.0,0.0,0.074,0.0,0.0,0.0,0.27,0.01,0.15,0.0,0.0,0.006,0.006,0.0
94,3.76,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356,0.0,0.0,0.10400000000000001,0.0,0.002,0.0,0.266,0.01,0.156,0.01,0.01,0.006,0.006,0.0
95,3.8,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.0,0.0,0.11599999999999999,0.008,0.012,0.0,0.27799999999999997,0.01,0.146,0.012,0.01,0.0,0.006,0.0
96,3.84,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.348,0.0,0.0,0.124,0.012,0.026000000000000002,0.0,0.304,0.01,0.146,0.026000000000000002,0.018,0.004,0.012,0.0
97,3.88,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.33799999999999997,0.0,0.0,0.074,0.012,0.03,0.0,0.32599999999999996,0.012,0.144,0.018,0.02,0.004,0.022,0.0
98,3.92,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.33199999999999996,0.0,0.0,0.064,0.006,0.044,0.0,0.33399999999999996,0.012,0.146,0.014000000000000002,0.03,0.01,0.022,0.0
99,3.96,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33599999999999997,0.0,0.0,0.066,0.0,0.046,0.0,0.32999999999999996,0.012,0.146,0.0,0.022,0.016,0.02,0.0
100,4.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33599999999999997,0.0,0.0,0.092,0.0,0.05,0.0,0.324,0.01,0.146,0.0,0.01,0.024,0.008,0.0
101,4.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33799999999999997,0.0,0.0,0.092,0.0,0.038,0.0,0.308,0.008,0.152,0.0,0.0,0.052000000000000005,0.008,0.0
102,4.08,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34199999999999997,0.0,0.0,0.086,0.0,0.026000000000000002,0.0,0.296,0.0,0.158,0.0,0.0,0.078,0.0,0.0
103,4.12,0.98,1,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.348,0.0,0.0,0.08199999999999999,0.0,0.03,0.0,0.268,0.02,0.16,0.004,0.0,0.08399999999999999,0.0,0.0
104,4.16,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.348,0.0,0.0,0.096,0.0,0.022,0.0,0.25,0.026000000000000002,0.16,0.004,0.0,0.064,0.0,0.0
105,4.2,0.98,1,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.346,0.0,0.0,0.1,0.0,0.016,0.0,0.244,0.041999999999999996,0.15,0.008,0.004,0.044,0.0,0.0
106,4.24,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34199999999999997,0.004,0.0,0.096,0.0,0.006,0.0,0.22999999999999998,0.034,0.13999999999999999,0.004,0.004,0.046,0.0,0.0
107,4.28,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32599999999999996,0.004,0.0,0.10200000000000001,0.0,0.004,0.0,0.236,0.032,0.148,0.01,0.004,0.032,0.0,0.0
108,4.32,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.004,0.0,0.11000000000000001,0.0,0.004,0.0,0.244,0.016,0.16,0.004,0.0,0.034,0.0,0.0
109,4.36,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.0,0.0,0.122,0.0,0.0,0.0,0.262,0.004,0.182,0.004,0.0,0.03,0.0,0.004
110,4.4,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.002,0.0,0.09,0.0,0.0,0.0,0.272,0.006,0.182,0.0,0.0,0.064,0.0,0.006
111,4.44,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.294,0.002,0.0,0.06999999999999999,0.0,0.0,0.0,0.27599999999999997,0.002,0.18,0.01,0.0,0.057999999999999996,0.0,0.006
112,4.48,0.98,1,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.302,0.002,0.0,0.068,0.0,0.004,0.0,0.288,0.002,0.178,0.018,0.0,0.064,0.0,0.002
